Open Date,Close Date,Symbol,Action,Units/Lots,SL,TP,Open Price,Close Price,Pips,Gain,Duration (DD:HH:MM:SS),Profitable(%),Profitable(time duration),Drawdown,Risk:Reward,Max(pips),Max(AUD),Min(pips),Min(AUD),Entry Accuracy(%),Exit Accuracy(%),ProfitMissed(pips),ProfitMissed(AUD)
06/02/2022 15:30,06/02/2022 16:07,XAUUSD,Buy,0.030,1842.02000,1866.02000,1854.32000,1860.57000,625.0,1.23,00:00:36:54,67.6,24m,317.0,0.51,625.0,,-317.0,,66.3,100.0,0.00,
06/02/2022 09:26,06/02/2022 14:29,GBPUSD,Sell,0.030,1.26173,1.23773,1.24973,1.25593,-62.0,-1.23,00:05:03:05,0.4,1m,62.7,89.29,0.7,,-62.0,,1.1,0.0,-62.70,
06/02/2022 08:51,06/02/2022 14:00,EURUSD,Sell,0.030,1.07810,1.05410,1.06610,1.06957,-34.7,-0.69,00:05:08:27,1.3,4m,37.9,11.64,3.0,,-34.9,,7.9,0.5,-37.70,
06/01/2022 18:00,06/02/2022 08:33,EURUSD,Sell,0.030,1.07874,1.05474,1.06677,1.06513,16.4,0.33,00:14:33:02,100.0,14h 33m,31.6,0.03,39.4,,0.0,,100.0,41.6,-23.00,
06/01/2022 16:40,06/01/2022 20:17,EURJPY,Buy,0.040,137.31000,139.71000,138.51100,138.53800,2.7,0.04,00:03:37:10,27.2,59m,46.2,2.06,15.1,,-31.1,,32.7,73.2,-12.40,
06/01/2022 13:41,06/01/2022 15:37,XAUUSD,Sell,0.030,1844.88000,1820.88000,1832.79000,1836.48000,-369.0,-0.72,00:01:55:30,78.5,1h 30m,816.0,1.16,378.0,,-438.0,,46.3,8.5,-747.00,
05/31/2022 07:22,05/31/2022 10:09,EURJPY,Buy,0.040,136.34200,138.74200,137.54300,137.53100,-1.2,-0.03,00:02:47:33,27.6,46m,46.5,2.30,14.1,,-32.4,,30.3,67.1,-15.30,
05/30/2022 21:48,05/31/2022 05:08,EURUSD,Buy,0.030,1.06619,1.09019,1.07820,1.07574,-24.6,-0.49,00:07:19:56,2.1,9m,45.7,21.88,2.0,,-43.7,,4.4,41.8,-26.60,
05/30/2022 22:11,05/31/2022 03:14,AUDUSD,Buy,0.030,0.70781,0.73181,0.71981,0.72025,4.4,0.07,00:05:02:34,5.3,16m,10.9,2.41,4.4,,-10.6,,29.3,100.0,0.00,
05/27/2022 17:00,05/27/2022 19:00,AUDUSD,Buy,0.030,0.70413,0.72813,0.71619,0.71537,-8.2,-0.17,00:02:00:01,13.3,15m,18.9,4.40,3.5,,-15.4,,18.5,38.1,-11.70,
05/27/2022 08:49,05/27/2022 19:00,EURUSD,Buy,0.030,1.06305,1.08705,1.07505,1.07076,-42.9,-0.84,00:10:10:23,2.5,15m,57.2,11.72,4.5,,-52.7,,7.9,17.1,-47.40,
05/27/2022 08:48,05/27/2022 11:35,AUDUSD,Buy,0.030,0.70107,0.72507,0.71305,0.71480,17.5,0.33,00:02:46:43,72.5,2h 0m,13.0,0.34,17.5,,-5.9,,74.8,100.0,0.00,
05/24/2022 01:39,05/24/2022 11:17,GBPUSD,Buy,0.030,1.24597,1.26997,1.25797,1.25655,-14.2,-0.28,00:09:38:12,14.1,1h 21m,32.2,1.88,17.0,,-32.0,,34.7,36.3,-31.20,
05/24/2022 10:00,05/24/2022 10:13,EURUSD,Buy,0.030,1.05657,1.08057,1.06868,1.07224,35.6,0.69,00:00:13:26,100.0,13m,6.4,0.03,37.2,,0.0,,100.0,95.7,-1.60,
05/24/2022 10:00,05/24/2022 10:00,EURJPY,Buy,0.040,135.13900,137.53900,136.37100,136.58800,21.7,0.44,00:00:00:29,,,,,,,,,,,,
05/24/2022 00:03,05/24/2022 09:31,EURJPY,Buy,0.040,135.43700,137.83700,136.62500,136.29400,-33.1,-0.69,00:09:28:53,9.4,53m,70.8,5.27,11.3,,-59.5,,16.0,37.3,-44.40,
05/20/2022 14:04,05/20/2022 19:00,AUDUSD,Buy,0.030,0.69399,0.71799,0.70599,0.70308,-29.1,-0.58,00:04:55:58,22.1,1h 5m,44.1,7.17,5.4,,-38.7,,12.2,21.8,-34.50,
05/20/2022 14:01,05/20/2022 19:00,EURUSD,Buy,0.030,1.04611,1.07011,1.05809,1.05584,-22.5,-0.45,00:04:58:57,2.7,8m,43.0,14.95,2.7,,-40.3,,6.3,41.4,-25.20,
05/20/2022 09:00,05/20/2022 18:21,GBPUSD,Buy,0.030,1.23547,1.25947,1.24754,1.24531,-22.3,-0.44,00:09:21:30,62.1,5h 48m,46.0,0.94,23.7,,-22.3,,51.5,0.0,-46.00,
05/20/2022 14:55,05/20/2022 16:52,XAUUSD,Buy,0.030,1829.99000,1853.99000,1841.99000,1837.63000,-436.0,-0.84,00:01:57:31,69.3,1h 21m,931.0,1.13,437.0,,-494.0,,46.9,6.2,-873.00,
05/20/2022 10:19,05/20/2022 12:18,EURUSD,Buy,0.030,1.04526,1.06926,1.05726,1.05831,10.5,0.19,00:01:58:34,53.8,1h 3m,24.7,1.51,10.5,,-15.9,,39.8,100.0,0.00,
05/19/2022 22:14,05/20/2022 07:17,EURUSD,Buy,0.030,1.04736,1.07136,1.05938,1.05719,-21.9,-0.44,00:09:02:46,0.0,0s,37.7,37.74,0.0,,-37.7,,0.0,41.9,-21.90,
05/19/2022 03:51,05/19/2022 07:00,GBPUSD,Sell,0.030,1.24813,1.22413,1.23610,1.23841,-23.1,-0.45,00:03:08:38,58.8,1h 50m,44.2,1.09,21.1,,-23.1,,47.7,0.0,-44.20,
05/19/2022 01:00,05/19/2022 07:00,AUDUSD,Sell,0.030,0.70771,0.68371,0.69576,0.70120,-54.4,-1.04,00:05:59:59,0.9,3m,59.1,35.97,1.6,,-57.5,,2.7,5.2,-56.00,
05/19/2022 00:45,05/19/2022 02:46,EURJPY,Sell,0.040,135.51000,133.11000,134.28800,134.10100,18.7,0.36,00:02:00:46,25.7,31m,29.9,1.15,20.5,,-23.6,,46.5,95.9,-1.80,
05/18/2022 09:26,05/18/2022 22:00,GBPUSD,Buy,0.030,1.23432,1.25832,1.24626,1.23455,-117.1,-2.21,00:12:33:55,0.0,0s,117.2,117.65,0.0,,-117.2,,0.0,0.1,-117.10,
05/18/2022 09:32,05/18/2022 12:20,EURUSD,Buy,0.030,1.04050,1.06450,1.05250,1.05173,-7.7,-0.15,00:02:48:50,0.6,1m,30.8,43.10,0.7,,-30.1,,2.3,72.7,-8.40,
05/18/2022 04:33,05/18/2022 08:04,GBPUSD,Buy,0.030,1.23579,1.25979,1.24774,1.24814,4.0,0.07,00:03:30:50,38.9,1h 22m,23.5,1.50,9.4,,-14.1,,40.0,77.0,-5.40,
05/18/2022 01:51,05/18/2022 08:00,EURJPY,Buy,0.040,135.25200,137.65200,136.45200,135.93200,-52.0,-1.00,00:06:08:54,37.3,2h 17m,89.1,3.18,21.3,,-67.8,,23.9,17.7,-73.30,
05/17/2022 21:13,05/18/2022 03:01,EURUSD,Buy,0.030,1.04122,1.06522,1.05321,1.05530,20.9,0.37,00:05:48:08,96.0,5h 34m,17.3,0.49,21.5,,-10.6,,67.0,98.1,-0.60,
05/17/2022 17:18,05/17/2022 20:17,EURJPY,Buy,0.040,135.02800,137.42800,136.22500,136.46600,24.1,0.45,00:02:59:14,69.9,2h 5m,38.5,0.99,24.1,,-23.8,,50.3,100.0,0.00,
